Poll_Source,Date,Democrat_s_,Republican_s_,Hypothetical_Race,Winner
Zogby_Poll_,"Dec_6-8,_2005_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Zogby_Poll_,"Dec_6-8,_2005_",Hillary_Clinton_,Condoleezza_Rice_,Hillary_Clinton_vs._Condoleezza_Rice_,Republican
Zogby_Poll_,"Dec_6-8,_2005_",John_Kerry_,John_McCain_,John_Kerry_vs._John_McCain_,Republican
Zogby_Poll_,"Dec_6-8,_2005_",John_Kerry_,Condoleezza_Rice_,John_Kerry_vs._Condoleezza_Rice_,Republican
Zogby_Poll_,"Dec_6-8,_2005_",Mark_Warner_,John_McCain_,Mark_Warner_vs._John_McCain_,Republican
Zogby_Poll_,"Dec_6-8,_2005_",Mark_Warner_,Condoleezza_Rice_,Mark_Warner_vs._Condoleezza_Rice_,Republican
Quinnipiac_University_Poll_,"Nov_28-Dec_4,_2005_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Nov_16-17,_2005_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Nov_16-17,_2005_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Nov_16-17,_2005_",John_Kerry_,Rudy_Giuliani_,John_Kerry_vs._Rudy_Giuliani_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Nov_16-17,_2005_",John_Kerry_,John_McCain_,John_Kerry_vs._John_McCain_,Republican
Diageo/Hotline_Poll_,"Nov_11-15,_2005_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
NBC_News/Wall_Street_Journal_Poll_,"Nov_4-7,_2005_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
NBC_News/Wall_Street_Journal_Poll_,"Nov_4-7,_2005_",Hillary_Clinton_,Bill_Frist_,Hillary_Clinton_vs._Bill_Frist_,Democrat
NBC_News/Wall_Street_Journal_Poll_,"Nov_4-7,_2005_",John_Kerry_,John_McCain_,John_Kerry_vs._John_McCain_,Republican
NBC_News/Wall_Street_Journal_Poll_,"Nov_4-7,_2005_",John_Kerry_,Bill_Frist_,John_Kerry_vs._Bill_Frist_,Democrat
Marist_College_Poll_,"Oct_12-13,_17,_2005_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
Marist_College_Poll_,"Oct_12-13,_17,_2005_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Marist_College_Poll_,"Oct_12-13,_17,_2005_",Hillary_Clinton_,Condoleezza_Rice_,Hillary_Clinton_vs._Condoleezza_Rice_,Democrat
Marist_College_Poll_,"Oct_12-13,_17,_2005_",John_Kerry_,Rudy_Giuliani_,John_Kerry_vs._Rudy_Giuliani_,Republican
Marist_College_Poll_,"Oct_12-13,_17,_2005_",John_Kerry_,John_McCain_,John_Kerry_vs._John_McCain_,Republican
Marist_College_Poll_,"Oct_12-13,_17,_2005_",John_Kerry_,Condoleezza_Rice_,John_Kerry_vs._Condoleezza_Rice_,Democrat
